"","data2.alcohol.1.1000.","alcohol1"
"1",9.4,-1.94895734932464
"2",9.8,-1.94895734932464
"3",9.8,-1.94895734932464
"4",9.8,-1.94895734932464
"5",9.4,-1.94895734932464
"6",9.4,-1.94895734932464
"7",9.4,-1.94895734932464
"8",10,-1.94895734932464
"9",9.5,-1.94895734932464
"10",10.5,-1.94895734932464
"11",9.2,-1.94895734932464
"12",10.5,-1.94895734932464
"13",9.9,-1.94895734932464
"14",9.1,-1.94895734932464
"15",9.2,-1.94895734932464
"16",9.2,-1.94895734932464
"17",10.5,-1.94895734932464
"18",9.3,-1.94895734932464
"19",9,-1.94895734932464
"20",9.2,-1.94895734932464
"21",9.4,-1.94895734932464
"22",9.7,-1.94895734932464
"23",9.5,-1.94895734932464
"24",9.4,-1.94895734932464
"25",9.7,-1.94895734932464
"26",9.3,-1.94895734932464
"27",9.5,-1.94895734932464
"28",9.5,-1.94895734932464
"29",9.4,-1.94895734932464
"30",9.8,-1.94895734932464
"31",10.1,-1.94895734932464
"32",10.6,-1.94895734932464
"33",9.8,-1.94895734932464
"34",9.4,-1.94895734932464
"35",9.2,-1.94895734932464
"36",9.6,-1.94895734932464
"37",10.8,-1.94895734932464
"38",9.7,-1.94895734932464
"39",9.8,-1.94895734932464
"40",10.5,-1.94895734932464
"41",10.5,-1.94895734932464
"42",9.3,-1.94895734932464
"43",10.5,-1.94895734932464
"44",10.3,-1.94895734932464
"45",9.5,-1.94895734932464
"46",13.1,-1.94895734932464
"47",9.2,-1.94895734932464
"48",9.5,-1.94895734932464
"49",9.2,-1.94895734932464
"50",9.2,-1.94895734932464
"51",9.2,-1.94895734932464
"52",9.4,-1.94895734932464
"53",9.4,-1.94895734932464
"54",9.4,-1.94895734932464
"55",10.2,-1.94895734932464
"56",9.5,-1.94895734932464
"57",9.6,-1.94895734932464
"58",9.4,-1.94895734932464
"59",10,-1.94895734932464
"60",9.4,-1.94895734932464
"61",9.2,-1.94895734932464
"62",9.3,-1.94895734932464
"63",9.5,-1.94895734932464
"64",9.8,-1.94895734932464
"65",10.9,-1.94895734932464
"66",10.9,-1.94895734932464
"67",9.6,-1.94895734932464
"68",10.7,-1.94895734932464
"69",10.7,-1.94895734932464
"70",10.5,-1.94895734932464
"71",9.5,-1.94895734932464
"72",9.5,-1.94895734932464
"73",9.5,-1.94895734932464
"74",9.2,-1.94895734932464
"75",9.6,-1.94895734932464
"76",10.5,-1.94895734932464
"77",10.5,-1.94895734932464
"78",10.7,-1.94895734932464
"79",10.1,-1.94895734932464
"80",9.1,-1.94895734932464
"81",9.2,-1.94895734932464
"82",9.4,-1.94895734932464
"83",9.1,-1.94895734932464
"84",9.4,-1.94895734932464
"85",10.3,-1.94895734932464
"86",10.1,-1.94895734932464
"87",9.9,-1.94895734932464
"88",9.6,-1.94895734932464
"89",9.5,-1.94895734932464
"90",9,-1.94895734932464
"91",9.5,-1.94895734932464
"92",9.9,-1.94895734932464
"93",9.8,-1.94895734932464
"94",9.6,-1.94895734932464
"95",10.5,-1.94895734932464
"96",12.9,-1.94895734932464
"97",10.7,-1.94895734932464
"98",9.2,-1.94895734932464
"99",9.8,-1.94895734932464
"100",9,-1.94895734932464
"101",10.2,-1.94895734932464
"102",10.4,-1.94895734932464
"103",9,-1.94895734932464
"104",9.2,-1.94895734932464
"105",9.4,-1.94895734932464
"106",9.2,-1.94895734932464
"107",9.3,-1.94895734932464
"108",9.3,-1.94895734932464
"109",9.6,-1.94895734932464
"110",9.3,-1.94895734932464
"111",9.5,-1.94895734932464
"112",9.8,-1.94895734932464
"113",9.8,-1.94895734932464
"114",9.7,-1.94895734932464
"115",9.5,-1.94895734932464
"116",10.5,-1.94895734932464
"117",10,-1.94895734932464
"118",9.4,-1.94895734932464
"119",10.9,-1.94895734932464
"120",9.2,-1.94895734932464
"121",9,-1.94895734932464
"122",10.9,-1.94895734932464
"123",9.2,-1.94895734932464
"124",9.5,-1.94895734932464
"125",9.5,-1.94895734932464
"126",9.4,-1.94895734932464
"127",10.9,-1.94895734932464
"128",10.9,-1.94895734932464
"129",10.5,-1.94895734932464
"130",9.4,-1.94895734932464
"131",9.4,-1.94895734932464
"132",13,-1.94895734932464
"133",13,-1.94895734932464
"134",9.8,-1.94895734932464
"135",9.9,-1.94895734932464
"136",9.6,-1.94895734932464
"137",9.5,-1.94895734932464
"138",9.2,-1.94895734932464
"139",9.5,-1.94895734932464
"140",9.5,-1.94895734932464
"141",9.6,-1.94895734932464
"142",9.5,-1.94895734932464
"143",14,-1.94895734932464
"144",9.4,-1.94895734932464
"145",14,-1.94895734932464
"146",9.4,-1.94895734932464
"147",10,-1.94895734932464
"148",9.3,-1.94895734932464
"149",10.2,-1.94895734932464
"150",10.5,-1.94895734932464
"151",10.3,-1.94895734932464
"152",9.4,-1.94895734932464
"153",10.1,-1.94895734932464
"154",10.1,-1.94895734932464
"155",10.5,-1.94895734932464
"156",10.5,-1.94895734932464
"157",10.5,-1.94895734932464
"158",10.5,-1.94895734932464
"159",9.3,-1.94895734932464
"160",9.3,-1.94895734932464
"161",9.6,-1.94895734932464
"162",9.2,-1.94895734932464
"163",10,-1.94895734932464
"164",9.4,-1.94895734932464
"165",9.4,-1.94895734932464
"166",9.5,-1.94895734932464
"167",10.2,-1.94895734932464
"168",9,-1.94895734932464
"169",10.4,-1.94895734932464
"170",9.5,-1.94895734932464
"171",9.1,-1.94895734932464
"172",9.2,-1.94895734932464
"173",9.2,-1.94895734932464
"174",11.5,-1.94895734932464
"175",9.5,-1.94895734932464
"176",9.5,-1.94895734932464
"177",9.5,-1.94895734932464
"178",10.5,-1.94895734932464
"179",9.6,-1.94895734932464
"180",9.5,-1.94895734932464
"181",9.5,-1.94895734932464
"182",9.3,-1.94895734932464
"183",9.3,-1.94895734932464
"184",9.3,-1.94895734932464
"185",9.3,-1.94895734932464
"186",9.7,-1.94895734932464
"187",9.2,-1.94895734932464
"188",9.7,-1.94895734932464
"189",9.5,-1.94895734932464
"190",9.5,-1.94895734932464
"191",9.4,-1.94895734932464
"192",9.8,-1.94895734932464
"193",9.5,-1.94895734932464
"194",9.7,-1.94895734932464
"195",9.7,-1.94895734932464
"196",9.4,-1.94895734932464
"197",10.2,-1.94895734932464
"198",10.1,-1.94895734932464
"199",13,-1.94895734932464
"200",11.4,-1.94895734932464
"201",10.3,-1.94895734932464
"202",9.3,-1.94895734932464
"203",9.5,-1.94895734932464
"204",9.2,-1.94895734932464
"205",9.2,-1.94895734932464
"206",10.8,-1.94895734932464
"207",10.8,-1.94895734932464
"208",9.3,-1.94895734932464
"209",9.4,-1.94895734932464
"210",10.5,-1.94895734932464
"211",12.4,-1.94895734932464
"212",10,-1.94895734932464
"213",10.2,-1.94895734932464
"214",10.1,-1.94895734932464
"215",9.8,-1.94895734932464
"216",10.5,-1.94895734932464
"217",11,-1.94895734932464
"218",9.1,-1.94895734932464
"219",9.7,-1.94895734932464
"220",9.5,-1.94895734932464
"221",9.4,-1.94895734932464
"222",9.4,-1.94895734932464
"223",9.5,-1.94895734932464
"224",10,-1.94895734932464
"225",10.4,-1.94895734932464
"226",10.5,-1.94895734932464
"227",9.5,-1.94895734932464
"228",9.8,-1.94895734932464
"229",10.5,-1.94895734932464
"230",11,-1.94895734932464
"231",12.2,-1.94895734932464
"232",9.9,-1.94895734932464
"233",9.6,-1.94895734932464
"234",11,-1.94895734932464
"235",9,-1.94895734932464
"236",9,-1.94895734932464
"237",9,-1.94895734932464
"238",9.2,-1.94895734932464
"239",9,-1.94895734932464
"240",9,-1.94895734932464
"241",9.3,-1.94895734932464
"242",10.9,-1.94895734932464
